Time,Brightness,Face Coordinates,Face Area,Approximate Distance (cm)
1708610533.4598432,139.4609906684028,"(714, 151, 371, 371)",137641,37.735849056603776
1708610534.501786,139.6401486545139,"(711, 128, 380, 380)",144400,36.8421052631579
1708610535.5650828,142.28871419270834,"(730, 147, 364, 364)",132496,38.46153846153846
1708610536.577334,142.24205078125,"(724, 146, 348, 348)",121104,40.229885057471265
1708610537.660367,139.98027018229166,"(754, 143, 354, 354)",125316,39.548022598870055
1708610539.531533,140.20423177083333,"(370, 337, 56, 56)",3136,250.0
1708610540.60149,136.84750108506944,"(750, 131, 360, 360)",129600,38.888888888888886
1708610541.663108,136.93328125,"(756, 138, 361, 361)",130321,38.78116343490305
