Time,Brightness,Face Coordinates,Face Area,Approximate Distance (cm)
1713275303.151417,121.49907660590277,"(478, 233, 273, 273)",74529,51.282051282051285
1713275304.194525,121.04103081597222,"(479, 226, 282, 282)",79524,49.645390070921984
1713275305.217278,123.82496419270834,"(488, 233, 256, 256)",65536,54.6875
1713275306.320128,123.16650173611112,"(489, 244, 263, 263)",69169,53.2319391634981
1713275307.419884,123.1462868923611,"(490, 240, 264, 264)",69696,53.03030303030303
1713275308.515305,123.62615885416666,"(494, 242, 254, 254)",64516,55.118110236220474
1713275309.519725,123.45455078125,"(495, 234, 250, 250)",62500,56.0
1713275310.544214,125.53114474826388,"(510, 175, 293, 293)",85849,47.781569965870304
1713275311.640913,126.73067057291667,"(511, 54, 340, 340)",115600,41.1764705882353
1713275312.6450481,117.18054036458334,"(502, 88, 331, 331)",109561,42.29607250755287
1713275313.648642,111.72327799479167,"(504, 99, 337, 337)",113569,41.54302670623145
1713275314.74452,115.92282443576389,"(502, 91, 326, 326)",106276,42.94478527607362
1713275315.749974,125.330966796875,"(487, 106, 337, 337)",113569,41.54302670623145
1713275316.84466,125.41719835069445,"(493, 113, 321, 321)",103041,43.613707165109034
1713275317.9406998,125.84807074652778,"(484, 116, 332, 332)",110224,42.16867469879518
1713275318.9712052,118.18912760416667,"(465, 106, 331, 331)",109561,42.29607250755287
1713275319.971903,118.76308919270834,"(435, 88, 331, 331)",109561,42.29607250755287
1713275321.012179,119.77600043402778,"(460, 106, 326, 326)",106276,42.94478527607362
1713275322.110944,119.22802408854167,"(461, 104, 342, 342)",116964,40.93567251461988
1713275323.214143,119.18920789930556,"(469, 119, 327, 327)",106929,42.813455657492355
1713275324.243249,118.32846028645834,"(466, 112, 334, 334)",111556,41.91616766467066
1713275325.35064,118.57153971354167,"(476, 125, 314, 314)",98596,44.5859872611465
1713275326.4409971,118.25044704861111,"(478, 115, 320, 320)",102400,43.75
1713275327.54158,118.88895073784722,"(481, 124, 315, 315)",99225,44.44444444444444
1713275328.5448792,118.34318901909722,"(472, 116, 323, 323)",104329,43.343653250774
1713275329.63954,118.42508029513888,"(469, 116, 323, 323)",104329,43.343653250774
1713275330.700137,118.40436197916667,"(468, 116, 327, 327)",106929,42.813455657492355
1713275331.705568,118.40918836805555,"(471, 118, 327, 327)",106929,42.813455657492355
1713275332.726014,118.4309765625,"(470, 114, 331, 331)",109561,42.29607250755287
1713275333.7390468,118.23097222222222,"(475, 123, 311, 311)",96721,45.01607717041801
1713275334.816295,118.71025607638889,"(470, 124, 323, 323)",104329,43.343653250774
1713275335.836734,118.33949110243056,"(479, 126, 305, 305)",93025,45.90163934426229
1713275336.9353468,118.45191731770834,"(474, 121, 317, 317)",100489,44.16403785488959
1713275337.935703,118.49251193576389,"(479, 125, 313, 313)",97969,44.72843450479233
1713275338.940048,118.21460177951388,"(478, 124, 318, 318)",101124,44.0251572327044
1713275340.133902,118.61195095486111,"(479, 127, 313, 313)",97969,44.72843450479233
1713275341.195921,118.17573784722222,"(471, 122, 320, 320)",102400,43.75
1713275342.2014039,118.01689887152777,"(475, 122, 320, 320)",102400,43.75
1713275343.202788,118.33788302951389,"(473, 125, 317, 317)",100489,44.16403785488959
1713275344.300947,118.06685438368055,"(471, 119, 323, 323)",104329,43.343653250774
1713275345.3912508,118.27707139756944,"(476, 128, 322, 322)",103684,43.47826086956522
1713275346.403967,118.05469401041667,"(471, 120, 322, 322)",103684,43.47826086956522
1713275347.433291,117.942841796875,"(475, 122, 318, 318)",101124,44.0251572327044
1713275348.436861,118.13628580729167,"(471, 122, 318, 318)",101124,44.0251572327044
1713275349.5305831,117.98126193576388,"(476, 123, 317, 317)",100489,44.16403785488959
1713275350.530802,118.33504340277777,"(470, 124, 312, 312)",97344,44.87179487179487
1713275351.534764,118.24548719618056,"(467, 122, 320, 320)",102400,43.75
1713275352.5354319,118.19710286458333,"(465, 114, 331, 331)",109561,42.29607250755287
1713275353.6298282,118.15675455729166,"(466, 124, 312, 312)",97344,44.87179487179487
1713275354.633054,118.00620659722222,"(464, 119, 323, 323)",104329,43.343653250774
1713275355.7317572,118.11540798611111,"(472, 132, 306, 306)",93636,45.751633986928105
1713275356.73423,118.14812174479167,"(466, 122, 322, 322)",103684,43.47826086956522
1713275357.829101,118.38053819444444,"(470, 133, 310, 310)",96100,45.16129032258065
1713275358.931537,117.97498806423611,"(474, 130, 308, 308)",94864,45.45454545454545
1713275360.019217,118.28178602430556,"(463, 122, 322, 322)",103684,43.47826086956522
1713275361.062966,118.10540581597222,"(476, 131, 301, 301)",90601,46.51162790697674
1713275362.159703,118.01733289930556,"(475, 130, 307, 307)",94249,45.60260586319218
1713275363.260832,117.81520073784722,"(471, 126, 315, 315)",99225,44.44444444444444
1713275364.268076,117.92012369791667,"(481, 136, 299, 299)",89401,46.82274247491639
1713275365.29349,118.01041558159723,"(470, 133, 308, 308)",94864,45.45454545454545
1713275366.35474,118.19498480902777,"(466, 131, 323, 323)",104329,43.343653250774
1713275367.35555,118.40972873263888,"(476, 142, 299, 299)",89401,46.82274247491639
1713275368.458694,117.93768663194444,"(473, 136, 312, 312)",97344,44.87179487179487
1713275369.462348,117.75414388020833,"(465, 122, 313, 313)",97969,44.72843450479233
1713275370.49037,117.45120442708334,"(476, 132, 307, 307)",94249,45.60260586319218
1713275371.563134,117.83051323784723,"(451, 118, 326, 326)",106276,42.94478527607362
1713275372.59343,117.83694444444444,"(461, 123, 316, 316)",99856,44.30379746835443
1713275373.6932821,118.42773871527778,"(465, 131, 309, 309)",95481,45.30744336569579
1713275374.7844338,118.12332682291667,"(463, 133, 316, 316)",99856,44.30379746835443
1713275375.891083,117.9914084201389,"(466, 128, 321, 321)",103041,43.613707165109034
1713275376.9862201,118.10868815104166,"(470, 140, 311, 311)",96721,45.01607717041801
1713275377.9889212,117.77149522569445,"(463, 130, 325, 325)",105625,43.07692307692308
1713275379.095822,117.58682834201389,"(421, 136, 339, 339)",114921,41.29793510324484
1713275380.152659,116.45253689236111,"(432, 134, 339, 339)",114921,41.29793510324484
1713275381.256734,133.21771484375,"(456, 135, 323, 323)",104329,43.343653250774
1713275382.256896,128.44838541666667,"(457, 122, 322, 322)",103684,43.47826086956522
1713275383.352036,121.60065755208333,"(459, 141, 308, 308)",94864,45.45454545454545
1713275384.355489,124.51139756944444,"(452, 151, 298, 298)",88804,46.97986577181208
1713275385.385539,123.42300889756945,"(447, 154, 313, 313)",97969,44.72843450479233
1713275386.4863,122.71189019097223,"(451, 154, 305, 305)",93025,45.90163934426229
1713275387.582432,122.90646375868056,"(447, 148, 302, 302)",91204,46.35761589403973
1713275388.6856298,122.72361762152778,"(447, 138, 314, 314)",98596,44.5859872611465
1713275389.6921148,122.78903754340278,"(452, 139, 317, 317)",100489,44.16403785488959
1713275390.799264,123.34373046875,"(453, 152, 299, 299)",89401,46.82274247491639
1713275391.9794712,122.71963758680556,"(438, 130, 320, 320)",102400,43.75
1713275392.987545,123.2863595920139,"(442, 131, 306, 306)",93636,45.751633986928105
1713275394.024948,123.8799728732639,"(434, 134, 313, 313)",97969,44.72843450479233
1713275395.135384,123.72470160590278,"(430, 125, 333, 333)",110889,42.04204204204204
1713275396.218477,123.82579427083333,"(436, 131, 317, 317)",100489,44.16403785488959
1713275397.337106,123.56639322916666,"(432, 126, 322, 322)",103684,43.47826086956522
1713275398.354839,123.68192925347222,"(443, 135, 310, 310)",96100,45.16129032258065
1713275399.375838,123.55971462673611,"(436, 132, 318, 318)",101124,44.0251572327044
1713275400.392846,123.53387803819444,"(432, 126, 328, 328)",107584,42.68292682926829
1713275401.448569,123.52900716145834,"(441, 134, 312, 312)",97344,44.87179487179487
1713275402.529231,123.46997178819444,"(443, 127, 317, 317)",100489,44.16403785488959
1713275403.612173,123.47971788194444,"(447, 127, 310, 310)",96100,45.16129032258065
1713275404.636257,123.46327799479167,"(444, 121, 319, 319)",101761,43.8871473354232
1713275405.6456058,123.35347764756945,"(444, 125, 323, 323)",104329,43.343653250774
1713275406.675762,123.20059027777778,"(451, 124, 322, 322)",103684,43.47826086956522
1713275407.6768599,123.05068467881945,"(447, 122, 323, 323)",104329,43.343653250774
1713275408.774754,123.14254665798612,"(442, 121, 332, 332)",110224,42.16867469879518
1713275409.874819,123.19290690104167,"(440, 121, 329, 329)",108241,42.5531914893617
1713275410.9355268,123.06482964409722,"(446, 126, 320, 320)",102400,43.75
1713275411.939884,123.18856879340278,"(451, 127, 313, 313)",97969,44.72843450479233
1713275413.045099,122.916083984375,"(438, 118, 333, 333)",110889,42.04204204204204
1713275414.1363058,123.0938747829861,"(440, 118, 334, 334)",111556,41.91616766467066
1713275415.1731,122.98833333333333,"(447, 128, 312, 312)",97344,44.87179487179487
1713275416.2737122,123.01272786458334,"(449, 132, 308, 308)",94864,45.45454545454545
1713275417.3031402,123.00142252604167,"(447, 132, 313, 313)",97969,44.72843450479233
1713275418.331936,122.45138020833333,"(447, 130, 305, 305)",93025,45.90163934426229
1713275419.342737,122.81989149305555,"(449, 139, 308, 308)",94864,45.45454545454545
1713275420.347532,122.43677191840278,"(438, 129, 322, 322)",103684,43.47826086956522
1713275421.434782,122.82139105902777,"(434, 125, 326, 326)",106276,42.94478527607362
1713275422.531279,122.82644856770834,"(436, 121, 320, 320)",102400,43.75
1713275423.5354419,123.04929470486111,"(443, 130, 310, 310)",96100,45.16129032258065
1713275424.5901928,123.05879991319445,"(434, 127, 328, 328)",107584,42.68292682926829
1713275425.606559,123.08060546875,"(434, 124, 322, 322)",103684,43.47826086956522
1713275426.701385,123.28095594618055,"(435, 125, 321, 321)",103041,43.613707165109034
1713275427.7304032,123.09765516493056,"(441, 129, 310, 310)",96100,45.16129032258065
1713275428.767041,123.03812717013889,"(439, 123, 314, 314)",98596,44.5859872611465
1713275429.80129,123.17191297743055,"(442, 125, 313, 313)",97969,44.72843450479233
1713275430.901012,122.92481119791667,"(440, 127, 314, 314)",98596,44.5859872611465
1713275431.996495,122.91431423611111,"(430, 117, 332, 332)",110224,42.16867469879518
1713275433.0747101,122.49684895833333,"(433, 120, 328, 328)",107584,42.68292682926829
1713275434.167996,122.63708875868056,"(439, 120, 310, 310)",96100,45.16129032258065
1713275435.268239,122.70255642361111,"(436, 120, 327, 327)",106929,42.813455657492355
1713275436.364511,122.34681532118056,"(447, 120, 307, 307)",94249,45.60260586319218
1713275437.427105,122.76087999131944,"(441, 124, 315, 315)",99225,44.44444444444444
1713275438.4283159,122.34842339409722,"(438, 120, 323, 323)",104329,43.343653250774
1713275439.527337,121.8397536892361,"(433, 110, 348, 348)",121104,40.229885057471265
1713275440.5648131,121.736953125,"(450, 129, 320, 320)",102400,43.75
